PHGO_04725	93a84d6763d17605caa5ffc55917a4df	1067	Pfam	PF00285	Citrate synthase, C-terminal domain	854	1054	5.1E-21	T	27-01-2020	IPR002020	Citrate synthase	GO:0046912	
PHGO_04725	93a84d6763d17605caa5ffc55917a4df	1067	Pfam	PF16114	ATP citrate lyase citrate-binding	254	430	8.2E-89	T	27-01-2020	IPR032263	ATP-citrate synthase, citrate-binding domain		KEGG: 00020+2.3.3.8|KEGG: 00720+2.3.3.8|MetaCyc: PWY-5172|Reactome: R-HSA-163765|Reactome: R-HSA-6798695|Reactome: R-HSA-75105
PHGO_04725	93a84d6763d17605caa5ffc55917a4df	1067	Pfam	PF00549	CoA-ligase	629	754	5.9E-13	T	27-01-2020	IPR005811	ATP-citrate lyase/succinyl-CoA ligase	GO:0003824	KEGG: 00020+6.2.1.5|KEGG: 00640+6.2.1.5|KEGG: 00660+6.2.1.5|KEGG: 00720+6.2.1.5|MetaCyc: PWY-5392|MetaCyc: PWY-5537|MetaCyc: PWY-5538|MetaCyc: PWY-5690|MetaCyc: PWY-5913|MetaCyc: PWY-6728|MetaCyc: PWY-6969|MetaCyc: PWY-7384
PHGO_04725	93a84d6763d17605caa5ffc55917a4df	1067	Pfam	PF02629	CoA binding domain	463	569	4.5E-6	T	27-01-2020	IPR003781	CoA-binding	GO:0048037	
PHGO_06073	b438c2a3cb30a19272fd53a6388d5bcb	150	Pfam	PF00411	Ribosomal protein S11	28	146	1.2E-46	T	27-01-2020	IPR001971	Ribosomal protein S11	GO:0003735|GO:0005840|GO:0006412	
PHGO_18500	f211e96fe647142981890bfbc35071a4	225	Pfam	PF12796	Ankyrin repeats (3 copies)	10	97	9.7E-8	T	27-01-2020	IPR020683	Ankyrin repeat-containing domain		
PHGO_07321	f261855bb5ea7ee16d565973e9ee749d	364	Pfam	PF00445	Ribonuclease T2 family	59	260	7.4E-24	T	27-01-2020	IPR001568	Ribonuclease T2-like	GO:0003723|GO:0033897	Reactome: R-HSA-6798695
PHGO_00868	75e38d3ea8aa03892ffe82ca80f24478	89	Pfam	PF00153	Mitochondrial carrier protein	15	82	2.4E-15	T	27-01-2020	IPR018108	Mitochondrial substrate/solute carrier		
PHGO_15781	57551501277f0d610313b83adccf4337	572	Pfam	PF04408	Helicase associated domain (HA2)	464	524	4.5E-10	T	27-01-2020	IPR007502	Helicase-associated domain	GO:0004386	
PHGO_15781	57551501277f0d610313b83adccf4337	572	Pfam	PF00271	Helicase conserved C-terminal domain	308	395	2.8E-10	T	27-01-2020	IPR001650	Helicase, C-terminal		
PHGO_15781	57551501277f0d610313b83adccf4337	572	Pfam	PF00270	DEAD/DEAH box helicase	7	167	3.5E-9	T	27-01-2020	IPR011545	DEAD/DEAH box helicase domain	GO:0003676|GO:0005524	
PHGO_15564	45fbb5c7c5605e5bce1ca1e160a7f055	336	Pfam	PF02840	Prp18 domain	188	326	3.3E-59	T	27-01-2020	IPR004098	Prp18	GO:0005681|GO:0008380	
PHGO_15564	45fbb5c7c5605e5bce1ca1e160a7f055	336	Pfam	PF08799	pre-mRNA processing factor 4 (PRP4) like	81	107	2.2E-12	T	27-01-2020	IPR014906	Pre-mRNA processing factor 4 (PRP4)-like		
PHGO_09043	d9fb3b07c72ea0a3eb2b1980172c2cb4	220	Pfam	PF06784	Uncharacterised protein family (UPF0240)	83	180	2.6E-8	T	27-01-2020	IPR009622	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	GO:0032981	Reactome: R-HSA-6799198
